name,type,start_time,duration,"data","error"
"Async Serial","data",2.883811818,0.000989582,"0",
"Async Serial","data",2.884879684,0.000989582,".",
"Async Serial","data",2.88594751,0.000989582,"1",
"Async Serial","data",2.887015334,0.000989582,"4",
"Async Serial","data",2.88808316,0.000989582,"5",
"Async Serial","data",2.889151026,0.000989582,",",
"Async Serial","data",2.890218852,0.000989582,"5",
"Async Serial","data",2.891286676,0.000989582,"5",
"Async Serial","data",2.8923545,0.000989582,"3",
"Async Serial","data",2.893422368,0.000989582,"1",
"Async Serial","data",2.894490192,0.000989582,"3",
"Async Serial","data",2.895558016,0.000989582,"8",
"Async Serial","data",2.896625842,0.000989582,",",
"Async Serial","data",2.897693708,0.000989582," ",
"Async Serial","data",2.898761534,0.000989582,",",
"Async Serial","data",2.899829358,0.000989582," ",
"Async Serial","data",2.900897182,0.000989582,"*",
"Async Serial","data",2.90196505,0.000989582,"",
"Async Serial","data",2.903032874,0.000989582,"
",
"Async Serial","data",2.96561706,0.000989582,"$",
"Async Serial","data",2.966684884,0.000989582,"D",
"Async Serial","data",2.96775271,0.000989582,"F",
"Async Serial","data",2.968820534,0.000989582,"D",
"Async Serial","data",2.9698884,0.000989582,"M",
"Async Serial","data",2.970956226,0.000989582,"D",
"Async Serial","data",2.97202405,0.000989582,",",
"Async Serial","data",2.973091874,0.000989582,"1",
"Async Serial","data",2.974159742,0.000989582,",",
"Async Serial","data",2.975227566,0.000989582,"1",
"Async Serial","data",2.976295392,0.000989582,",",
"Async Serial","data",2.977363216,0.000989582,"1",
"Async Serial","data",2.978431082,0.000989582,".",
"Async Serial","data",2.979498908,0.000989582,"2",
"Async Serial","data",2.980566732,0.000989582,"3",
"Async Serial","data",2.981634558,0.000989582,"3",
"Async Serial","data",2.982702424,0.000989582,",",
"Async Serial","data",2.983770248,0.000989582,"0",
"Async Serial","data",2.984838074,0.000989582,".",
"Async Serial","data",2.985905898,0.000989582,"1",
"Async Serial","data",2.986973764,0.000989582,"1",
"Async Serial","data",2.98804159,0.000989582,"4",
"Async Serial","data",2.989109414,0.000989582,",",
"Async Serial","data",2.99017724,0.000989582,"1",
"Async Serial","data",2.991245106,0.000989582,"8",
"Async Serial","data",2.99231293,0.000989582,"0",
"Async Serial","data",2.993380756,0.000989582,"0",
"Async Serial","data",2.99444858,0.000989582,"0",
"Async Serial","data",2.995516446,0.000989582,",",
"Async Serial","data",2.996584272,0.000989582," ",
"Async Serial","data",2.997652096,0.000989582,",",
"Async Serial","data",2.998719922,0.000989582," ",
"Async Serial","data",2.999787788,0.000989582,"*",
"Async Serial","data",3.000855612,0.000989582,"",
"Async Serial","data",3.001923438,0.000989582,"
",
"Async Serial","data",3.065521534,0.000989582,"$",
"Async Serial","data",3.066589358,0.000989582,"D",
"Async Serial","data",3.067657224,0.000989582,"F",
"Async Serial","data",3.06872505,0.000989582,"D",
"Async Serial","data",3.069792874,0.000989582,"M",
"Async Serial","data",3.0708607,0.000989582,"D",
"Async Serial","data",3.071928566,0.000989582,",",
"Async Serial","data",3.07299639,0.000989582,"1",
"Async Serial","data",3.074064216,0.000989582,",",
"Async Serial","data",3.07513204,0.000989582,"1",
"Async Serial","data",3.076199906,0.000989582,",",
"Async Serial","data",3.077267732,0.000989582,"1",
"Async Serial","data",3.078335556,0.000989582,".",
"Async Serial","data",3.079403382,0.000989582,"3",
"Async Serial","data",3.080471248,0.000989582,"9",
"Async Serial","data",3.081539072,0.000989582,"0",
"Async Serial","data",3.082606898,0.000989582,",",
"Async Serial","data",3.083674722,0.000989582,"0",
"Async Serial","data",3.084742588,0.000989582,".",
"Async Serial","data",3.085810414,0.000989582,"1",
"Async Serial","data",3.086878238,0.000989582,"7",
"Async Serial","data",3.087946064,0.000989582,"2",
"Async Serial","data",3.08901393,0.000989582,",",
"Async Serial","data",3.090081754,0.000989582,"1",
"Async Serial","data",3.09114958,0.000989582,"7",
"Async Serial","data",3.092217404,0.000989582,"9",
"Async Serial","data",3.093285272,0.000989582,"6",
"Async Serial","data",3.094353096,0.000989582,",",
"Async Serial","data",3.09542092,0.000989582," ",
"Async Serial","data",3.096488746,0.000989582,",",
"Async Serial","data",3.097556612,0.000989582," ",
"Async Serial","data",3.098624436,0.000989582,"*",
"Async Serial","data",3.099692262,0.000989582,"",
"Async Serial","data",3.100760086,0.000989582,"
",
"Async Serial","data",3.165516128,0.000989582,"$",
"Async Serial","data",3.166583954,0.000989582,"D",
"Async Serial","data",3.167651778,0.000989582,"F",
"Async Serial","data",3.168719602,0.000989582,"D",
"Async Serial","data",3.16978747,0.000989582,"M",
"Async Serial","data",3.170855294,0.000989582,"D",
"Async Serial","data",3.171923118,0.000989582,",",
"Async Serial","data",3.172990944,0.000989582,"1",
"Async Serial","data",3.17405881,0.000989582,",",
"Async Serial","data",3.175126636,0.000989582,"1",
"Async Serial","data",3.17619446,0.000989582,",",
"Async Serial","data",3.177262284,0.000989582,"1",
"Async Serial","data",3.178330152,0.000989582,".",
"Async Serial","data",3.179397976,0.000989582,"5",
"Async Serial","data",3.1804658,0.000989582,"0",
"Async Serial","data",3.181533626,0.000989582,"5",
"Async Serial","data",3.182601492,0.000989582,",",
"Async Serial","data",3.183669318,0.000989582,"0",
"Async Serial","data",3.184737142,0.000989582,".",
"Async Serial","data",3.185804966,0.000989582,"2",
"Async Serial","data",3.186872834,0.000989582,"0",
"Async Serial","data",3.187940658,0.000989582,"8",
"Async Serial","data",3.189008484,0.000989582,",",
"Async Serial","data",3.190076308,0.000989582,"4",
"Async Serial","data",3.191144174,0.000989582,"3",
"Async Serial","data",3.192212,0.000989582,"8",
"Async Serial","data",3.193279824,0.000989582,"5",
"Async Serial","data",3.194347648,0.000989582,",",
"Async Serial","data",3.195415516,0.000989582," ",
"Async Serial","data",3.19648334,0.000989582,",",
"Async Serial","data",3.197551166,0.000989582," ",
"Async Serial","data",3.19861899,0.000989582,"*",
"Async Serial","data",3.199686856,0.000989582,"",
"Async Serial","data",3.200754682,0.000989582,"
",
"Async Serial","data",3.265530846,0.000989582,"$",
"Async Serial","data",3.266598672,0.000989582,"D",
"Async Serial","data",3.267666538,0.000989582,"F",
"Async Serial","data",3.268734362,0.000989582,"D",
"Async Serial","data",3.269802188,0.000989582,"M",
"Async Serial","data",3.270870012,0.000989582,"D",
"Async Serial","data",3.271937878,0.000989582,",",
"Async Serial","data",3.273005704,0.000989582,"1",
"Async Serial","data",3.274073528,0.000989582,",",
"Async Serial","data",3.275141354,0.000989582,"1",
"Async Serial","data",3.27620922,0.000989582,",",
"Async Serial","data",3.277277044,0.000989582,"1",
"Async Serial","data",3.27834487,0.000989582,".",
"Async Serial","data",3.279412694,0.000989582,"6",
"Async Serial","data",3.280480562,0.000989582,"4",
"Async Serial","data",3.281548386,0.000989582,"6",
"Async Serial","data",3.28261621,0.000989582,",",
"Async Serial","data",3.283684036,0.000989582,"0",
"Async Serial","data",3.284751902,0.000989582,".",
"Async Serial","data",3.285819726,0.000989582,"2",
